"","sample.id","variable","value"
"39","MKII-2.90",0.011,0
"40","MKII-2.95",0.011,0
"41","MKII-3.0",0.011,0
"42","MKII-3.05",0.011,0
"43","MKII-3.10",0.011,0
"44","MKII-3.15",0.011,0
"45","MKII-3.20",0.011,0
"46","MKII-3.25",0.011,0
"47","MKII-3.30",0.011,0
"48","MKII-3.35",0.011,0
"49","MKII-3.40",0.011,0
"88","MKII-2.90",0.013,0
"89","MKII-2.95",0.013,0
"90","MKII-3.0",0.013,0
"91","MKII-3.05",0.013,0
"92","MKII-3.10",0.013,0
"93","MKII-3.15",0.013,0
"94","MKII-3.20",0.013,0
"95","MKII-3.25",0.013,0
"96","MKII-3.30",0.013,0
"97","MKII-3.35",0.013,0
"98","MKII-3.40",0.013,0
"137","MKII-2.90",0.015,0
"138","MKII-2.95",0.015,0
"139","MKII-3.0",0.015,0
"140","MKII-3.05",0.015,0
"141","MKII-3.10",0.015,0
"142","MKII-3.15",0.015,0
"143","MKII-3.20",0.015,0
"144","MKII-3.25",0.015,0
"145","MKII-3.30",0.015,0
"146","MKII-3.35",0.015,0
"147","MKII-3.40",0.015,0
"186","MKII-2.90",0.017,0
"187","MKII-2.95",0.017,0
"188","MKII-3.0",0.017,0
"189","MKII-3.05",0.017,0
"190","MKII-3.10",0.017,0
"191","MKII-3.15",0.017,0
"192","MKII-3.20",0.017,0
"193","MKII-3.25",0.017,0
"194","MKII-3.30",0.017,0
"195","MKII-3.35",0.017,0
"196","MKII-3.40",0.017,0
"235","MKII-2.90",0.02,0
"236","MKII-2.95",0.02,0
"237","MKII-3.0",0.02,0
"238","MKII-3.05",0.02,0
"239","MKII-3.10",0.02,0
"240","MKII-3.15",0.02,0
"241","MKII-3.20",0.02,0
"242","MKII-3.25",0.02,0
"243","MKII-3.30",0.02,0
"244","MKII-3.35",0.02,0
"245","MKII-3.40",0.02,0
"284","MKII-2.90",0.023,0
"285","MKII-2.95",0.023,0
"286","MKII-3.0",0.023,0
"287","MKII-3.05",0.023,0
"288","MKII-3.10",0.023,0
"289","MKII-3.15",0.023,0
"290","MKII-3.20",0.023,0
"291","MKII-3.25",0.023,0
"292","MKII-3.30",0.023,0
"293","MKII-3.35",0.023,0
"294","MKII-3.40",0.023,0
"333","MKII-2.90",0.026,0
"334","MKII-2.95",0.026,0
"335","MKII-3.0",0.026,0
"336","MKII-3.05",0.026,0
"337","MKII-3.10",0.026,0
"338","MKII-3.15",0.026,0
"339","MKII-3.20",0.026,0
"340","MKII-3.25",0.026,0
"341","MKII-3.30",0.026,0
"342","MKII-3.35",0.026,0
"343","MKII-3.40",0.026,0
"382","MKII-2.90",0.03,0
"383","MKII-2.95",0.03,0
"384","MKII-3.0",0.03,0
"385","MKII-3.05",0.03,0
"386","MKII-3.10",0.03,0
"387","MKII-3.15",0.03,0
"388","MKII-3.20",0.03,0
"389","MKII-3.25",0.03,0
"390","MKII-3.30",0.03,0
"391","MKII-3.35",0.03,0
"392","MKII-3.40",0.03,0
"431","MKII-2.90",0.034,0
"432","MKII-2.95",0.034,0
"433","MKII-3.0",0.034,0
"434","MKII-3.05",0.034,0
"435","MKII-3.10",0.034,0
"436","MKII-3.15",0.034,0
"437","MKII-3.20",0.034,0
"438","MKII-3.25",0.034,0
"439","MKII-3.30",0.034,0
"440","MKII-3.35",0.034,0
"441","MKII-3.40",0.034,0
"480","MKII-2.90",0.039,0
"481","MKII-2.95",0.039,0
"482","MKII-3.0",0.039,0
"483","MKII-3.05",0.039,0
"484","MKII-3.10",0.039,0
"485","MKII-3.15",0.039,0
"486","MKII-3.20",0.039,0
"487","MKII-3.25",0.039,0
"488","MKII-3.30",0.039,0
"489","MKII-3.35",0.039,0
"490","MKII-3.40",0.039,0
"529","MKII-2.90",0.044,0
"530","MKII-2.95",0.044,0
"531","MKII-3.0",0.044,0
"532","MKII-3.05",0.044,0
"533","MKII-3.10",0.044,0
"534","MKII-3.15",0.044,0
"535","MKII-3.20",0.044,0
"536","MKII-3.25",0.044,0
"537","MKII-3.30",0.044,0
"538","MKII-3.35",0.044,0
"539","MKII-3.40",0.044,0
"578","MKII-2.90",0.051,0
"579","MKII-2.95",0.051,0
"580","MKII-3.0",0.051,0
"581","MKII-3.05",0.051,0
"582","MKII-3.10",0.051,0
"583","MKII-3.15",0.051,0
"584","MKII-3.20",0.051,0
"585","MKII-3.25",0.051,0
"586","MKII-3.30",0.051,0
"587","MKII-3.35",0.051,0
"588","MKII-3.40",0.051,0
"627","MKII-2.90",0.058,0
"628","MKII-2.95",0.058,0
"629","MKII-3.0",0.058,0
"630","MKII-3.05",0.058,0
"631","MKII-3.10",0.058,0
"632","MKII-3.15",0.058,0
"633","MKII-3.20",0.058,0
"634","MKII-3.25",0.058,0
"635","MKII-3.30",0.058,0
"636","MKII-3.35",0.058,0
"637","MKII-3.40",0.058,0
"676","MKII-2.90",0.067,0
"677","MKII-2.95",0.067,0
"678","MKII-3.0",0.067,0
"679","MKII-3.05",0.067,0
"680","MKII-3.10",0.067,0
"681","MKII-3.15",0.067,0
"682","MKII-3.20",0.067,0
"683","MKII-3.25",0.067,0
"684","MKII-3.30",0.067,0
"685","MKII-3.35",0.067,0
"686","MKII-3.40",0.067,0
"725","MKII-2.90",0.076,0
"726","MKII-2.95",0.076,0
"727","MKII-3.0",0.076,0
"728","MKII-3.05",0.076,0
"729","MKII-3.10",0.076,0
"730","MKII-3.15",0.076,0
"731","MKII-3.20",0.076,0
"732","MKII-3.25",0.076,0
"733","MKII-3.30",0.076,0
"734","MKII-3.35",0.076,0
"735","MKII-3.40",0.076,0
"774","MKII-2.90",0.087,0
"775","MKII-2.95",0.087,0
"776","MKII-3.0",0.087,0
"777","MKII-3.05",0.087,0
"778","MKII-3.10",0.087,0
"779","MKII-3.15",0.087,0
"780","MKII-3.20",0.087,0
"781","MKII-3.25",0.087,0
"782","MKII-3.30",0.087,0
"783","MKII-3.35",0.087,0
"784","MKII-3.40",0.087,0
"823","MKII-2.90",0.1,0
"824","MKII-2.95",0.1,0
"825","MKII-3.0",0.1,0
"826","MKII-3.05",0.1,0
"827","MKII-3.10",0.1,0
"828","MKII-3.15",0.1,0
"829","MKII-3.20",0.1,0
"830","MKII-3.25",0.1,0
"831","MKII-3.30",0.1,0
"832","MKII-3.35",0.1,0
"833","MKII-3.40",0.1,0
"872","MKII-2.90",0.115,0
"873","MKII-2.95",0.115,0
"874","MKII-3.0",0.115,0
"875","MKII-3.05",0.115,0
"876","MKII-3.10",0.115,0
"877","MKII-3.15",0.115,0
"878","MKII-3.20",0.115,0
"879","MKII-3.25",0.115,0
"880","MKII-3.30",0.115,0
"881","MKII-3.35",0.115,0
"882","MKII-3.40",0.115,0
"921","MKII-2.90",0.131,0
"922","MKII-2.95",0.131,0
"923","MKII-3.0",0.131,0
"924","MKII-3.05",0.131,0
"925","MKII-3.10",0.131,0
"926","MKII-3.15",0.131,0
"927","MKII-3.20",0.131,0
"928","MKII-3.25",0.131,0
"929","MKII-3.30",0.131,0
"930","MKII-3.35",0.131,0
"931","MKII-3.40",0.131,0
"970","MKII-2.90",0.15,0
"971","MKII-2.95",0.15,0
"972","MKII-3.0",0.15,0
"973","MKII-3.05",0.15,0
"974","MKII-3.10",0.15,0
"975","MKII-3.15",0.15,0
"976","MKII-3.20",0.15,0
"977","MKII-3.25",0.15,0
"978","MKII-3.30",0.15,0
"979","MKII-3.35",0.15,0
"980","MKII-3.40",0.15,0
"1019","MKII-2.90",0.172,0
"1020","MKII-2.95",0.172,0
"1021","MKII-3.0",0.172,0
"1022","MKII-3.05",0.172,0
"1023","MKII-3.10",0.172,0
"1024","MKII-3.15",0.172,0
"1025","MKII-3.20",0.172,0
"1026","MKII-3.25",0.172,0
"1027","MKII-3.30",0.172,0
"1028","MKII-3.35",0.172,0
"1029","MKII-3.40",0.172,0
"1068","MKII-2.90",0.197,0
"1069","MKII-2.95",0.197,0
"1070","MKII-3.0",0.197,0
"1071","MKII-3.05",0.197,0
"1072","MKII-3.10",0.197,0
"1073","MKII-3.15",0.197,0
"1074","MKII-3.20",0.197,0
"1075","MKII-3.25",0.197,0
"1076","MKII-3.30",0.197,0
"1077","MKII-3.35",0.197,0
"1078","MKII-3.40",0.197,0
"1117","MKII-2.90",0.226,0
"1118","MKII-2.95",0.226,0
"1119","MKII-3.0",0.226,0
"1120","MKII-3.05",0.226,0
"1121","MKII-3.10",0.226,0
"1122","MKII-3.15",0.226,0
"1123","MKII-3.20",0.226,0
"1124","MKII-3.25",0.226,0
"1125","MKII-3.30",0.226,0
"1126","MKII-3.35",0.226,0
