Name,Northing,Easting,Elevation,Description
3588,5016.785579,4986.49877,100.523934,TE-T-B-24
3589,5016.852098,4986.372652,100.518318,TE-T-B-19
3590,5016.863106,4986.397667,100.518823,TE-T-B-19
3591,5016.943194,4986.214588,100.49941,TE-T-B-5
3592,5017.069167,4986.194442,100.48886,TE-T-B-3
3593,5017.028251,4986.161601,100.493909,TE-T-B-3
3594,5017.144458,4986.060137,100.484986,TE-T-B-10
3595,5017.162234,4986.094589,100.491604,TE-T-B-10
3596,5017.038027,4985.963877,100.470197,TE-T-B-6
3597,5017.092174,4986.021651,100.473079,TE-T-B-6
3598,5016.954458,4986.030092,100.496371,TE-T-B-25
3599,5016.836714,4986.116328,100.50778,TE-T-B-13
3600,5016.897437,4986.146591,100.506083,TE-T-B-13
3601,5016.766619,4986.256667,100.531795,TE-T-B-15
3602,5016.68816,4986.356034,100.535799,TE-T-B-16
3603,5016.738369,4986.378345,100.53244,TE-T-B-16
3604,5016.97394,4985.848939,100.468119,TE-T-B-29
3605,5016.841302,4985.883224,100.495342,TE-T-B-8
3606,5016.824547,4985.806024,100.492884,TE-T-B-8
3607,5016.793956,4985.941815,100.508691,TE-T-B-14
3608,5016.817752,4985.616712,100.471649,TE-T-B-9
3609,5016.816498,4985.632239,100.475793,TE-T-B-9
3610,5016.641493,4985.757509,100.491068,TE-T-B-12
3611,5016.722294,4985.822042,100.497544,TE-T-B-12
3612,5016.621203,4985.892914,100.514361,TE-T-B-7
3613,5016.593009,4985.883537,100.523786,TE-T-B-7
3614,5016.718819,4985.585475,100.477006,TE-T-B-23
3615,5016.599524,4985.705304,100.484275,TE-T-B-11
3616,5016.641865,4985.697783,100.49323,TE-T-B-11
3617,5016.543487,4985.812512,100.520275,TE-T-B-2
3618,5016.580043,4985.776449,100.512512,TE-T-B-2
3619,5016.571244,4985.758327,100.517412,TE-T-B-2
3620,5016.543117,4985.776821,100.518083,TE-T-B-2
3621,5016.579231,4985.493881,100.487455,TE-T-B-20
3622,5016.554228,4985.618962,100.501217,TE-T-B-26
3623,5016.461934,4985.719127,100.514372,TE-T-B-4
3624,5016.410728,4985.651629,100.52018,TE-T-B-4
3625,5016.241794,4985.826722,100.523763,TE-T-B-30
